date,condition,vendor_last_modified,is_rth_session,partition
2014-06-11,degraded,2026-05-03,True,BACKWARD_HOLDOUT
2014-06-12,degraded,2026-05-03,False,NOT_A_SESSION
2014-06-13,degraded,2026-05-04,False,NOT_A_SESSION
2014-06-15,degraded,2026-05-02,False,NOT_A_SESSION
2014-09-22,degraded,2026-05-02,True,BACKWARD_HOLDOUT
2014-09-23,degraded,2026-05-02,False,NOT_A_SESSION
2014-09-24,degraded,2026-05-02,False,NOT_A_SESSION
2014-09-25,degraded,2026-05-03,False,NOT_A_SESSION
2017-11-13,degraded,2026-02-20,True,DEVELOPMENT
2018-10-21,degraded,2026-05-24,False,NOT_A_SESSION
2019-01-15,degraded,2026-05-22,True,DEVELOPMENT
2019-02-22,degraded,2026-05-22,True,DEVELOPMENT
2019-03-13,degraded,2026-05-22,True,DEVELOPMENT
2019-03-26,degraded,2026-05-22,True,DEVELOPMENT
2020-02-27,degraded,2026-05-27,True,DEVELOPMENT
2020-02-28,degraded,2026-05-28,True,DEVELOPMENT
2020-06-30,degraded,2026-05-22,True,DEVELOPMENT
2020-07-01,degraded,2026-05-22,True,DEVELOPMENT
2021-12-05,degraded,2026-05-18,False,NOT_A_SESSION
2022-01-02,degraded,2026-04-03,False,NOT_A_SESSION
2024-09-18,degraded,2026-04-21,True,FORWARD_HOLDOUT
2025-09-17,degraded,2026-06-11,True,FORWARD_HOLDOUT
2025-09-24,degraded,2026-06-12,True,FORWARD_HOLDOUT
2025-11-28,degraded,2026-06-09,True,FORWARD_HOLDOUT
2026-01-31,degraded,2026-06-04,False,NOT_A_SESSION
2026-03-15,degraded,2026-06-05,False,NOT_A_SESSION
2026-03-16,degraded,2026-06-06,True,FORWARD_HOLDOUT
2026-03-21,degraded,2026-05-18,False,NOT_A_SESSION
2026-04-10,degraded,2026-05-21,True,FORWARD_HOLDOUT
2026-05-24,degraded,2026-06-05,False,NOT_A_SESSION
2026-07-30,degraded,2026-07-31,True,FORWARD_HOLDOUT
2026-08-29,degraded,2026-08-30,False,NOT_A_SESSION
