session_date,front_symbol,roll_effective,roll_day_flag
2015-01-02,NQH15,False,False
2015-01-05,NQH15,False,False
2015-01-06,NQH15,False,False
2015-01-07,NQH15,False,False
2015-01-08,NQH15,False,False
2015-01-09,NQH15,False,True
2015-01-12,NQM15,True,True
2015-01-13,NQM15,False,False
2015-01-14,NQM15,False,False
2015-01-15,NQM15,False,False
2015-01-16,NQM15,False,False
2015-01-19,NQM15,False,False
2015-01-20,NQM15,False,False
2015-01-21,NQM15,False,False
2015-01-22,NQM15,False,False
2015-01-23,NQM15,False,False
2015-01-26,NQM15,False,False
2015-01-27,NQM15,False,False
2015-01-28,NQM15,False,False
2015-01-29,NQM15,False,False
2015-01-30,NQM15,False,False
2015-02-02,NQM15,False,False
2015-02-03,NQM15,False,False
2015-02-04,NQM15,False,False
2015-02-05,NQM15,False,False
2015-02-06,NQM15,False,False
2015-02-09,NQM15,False,False
2015-02-10,NQM15,False,False
2015-02-11,NQM15,False,False
2015-02-12,NQM15,False,False
2015-02-13,NQM15,False,False
2015-02-16,NQM15,False,False
2015-02-17,NQM15,False,False
2015-02-18,NQM15,False,False
2015-02-19,NQM15,False,False
2015-02-20,NQM15,False,False
2015-02-23,NQM15,False,False
2015-02-24,NQM15,False,False
2015-02-25,NQM15,False,False
2015-02-26,NQM15,False,False
2015-02-27,NQM15,False,False
2015-03-02,NQM15,False,False
2015-03-03,NQM15,False,False
2015-03-04,NQM15,False,False
2015-03-05,NQM15,False,False
2015-03-06,NQM15,False,False
2015-03-09,NQM15,False,True
2015-03-10,NQU15,True,True
2015-03-11,NQU15,False,False
2015-03-12,NQU15,False,False
2015-03-13,NQU15,False,False
2015-03-16,NQU15,False,False
2015-03-17,NQU15,False,False
2015-03-18,NQU15,False,False
2015-03-19,NQU15,False,False
2015-03-20,NQU15,False,False
2015-03-23,NQU15,False,False
2015-03-24,NQU15,False,False
2015-03-25,NQU15,False,False
2015-03-26,NQU15,False,False
2015-03-27,NQU15,False,False
2015-03-30,NQU15,False,False
2015-03-31,NQU15,False,False
2015-04-01,NQU15,False,False
2015-04-02,NQU15,False,False
2015-04-03,NQU15,False,False
2015-04-06,NQU15,False,False
2015-04-07,NQU15,False,False
2015-04-08,NQU15,False,False
2015-04-09,NQU15,False,False
2015-04-10,NQU15,False,False
2015-04-13,NQU15,False,False
2015-04-14,NQU15,False,False
2015-04-15,NQU15,False,False
2015-04-16,NQU15,False,False
