year,n,bins_p10,bins_p50,bins_p90,ib_mid_p50,ib_range_p50,bin_w_p50,over_hi_p50,over_hi_p90,out_of_ib_pct
2015,174,18.333333333333332,20.0,21.64666666666667,4428.1875,23.25,1.25,-3.5,-0.75,0.0
2016,208,18.0,19.916666666666664,22.0,4716.4375,18.5,1.0,-3.0,-0.42499999999999716,0.0
2017,248,17.925,19.732142857142858,22.333333333333332,5794.5625,18.25,1.0,-3.25,-0.75,0.0
2018,248,18.833333333333332,19.922619047619047,20.922222222222224,6959.375,40.5,2.0,-6.0,-1.0,0.0
2019,245,18.77,20.0,21.314285714285713,7694.0,34.0,1.75,-6.0,-1.5,0.0
2020,247,19.39384615384615,19.9375,20.4375,10393.125,78.75,4.0,-13.0,-1.1499999999999986,0.0
2021,251,19.5,20.047619047619047,20.533333333333335,14546.125,81.75,4.0,-13.25,-1.75,0.0
2022,250,19.655039787798408,20.0,20.333333333333332,12461.6875,125.0,6.25,-23.75,-5.75,0.0
2023,248,19.470588235294116,19.902380952380952,20.476666666666667,14801.6875,80.5,4.0,-13.75,-2.424999999999997,0.0
2024,84,19.534871794871798,19.896428571428572,20.492105263157896,17861.625,81.375,4.125,-14.5,-3.75,0.0
2026,162,19.808909574468085,20.00581395348837,20.19017857142857,27781.8125,186.75,9.25,-32.375,-7.549999999999997,0.0
