year,n,bins_p10,bins_p50,bins_p90,ib_mid_p50,ib_range_p50,bin_w_p50,over_hi_p50,over_hi_p90,out_of_ib_pct
2015,174,4.10125,5.7140522875816995,8.7,4428.1875,23.25,3.875,-3.0,1.75,44.252873563218394
2016,208,4.319047619047619,5.832167832167832,8.950000000000001,4716.4375,18.5,3.0,-1.875,1.3250000000000028,41.82692307692308
2017,248,4.285714285714286,5.775,8.513636363636364,5794.5625,18.25,3.25,-2.125,1.5,46.37096774193548
2018,248,3.919040247678019,5.663529411764706,8.591470054446463,6959.375,40.5,6.75,-4.75,3.25,48.38709677419355
2019,245,4.182072829131653,5.904761904761905,9.232142857142856,7694.0,34.0,5.75,-2.0,3.6499999999999986,50.61224489795918
2020,247,4.191260504201681,5.967741935483871,8.705714285714285,10393.125,78.75,12.75,-7.25,6.350000000000001,45.74898785425101
2021,251,4.128205128205129,5.7631578947368425,8.604166666666666,14546.125,81.75,13.25,-10.0,5.25,42.62948207171315
2022,250,4.1097198879551815,5.923190235690235,8.610071387227475,12461.6875,125.0,20.75,-14.5,9.049999999999997,46.400000000000006
2023,248,4.030799823243482,5.631033182503771,8.286519607843138,14801.6875,80.5,14.0,-9.25,6.0,48.38709677419355
2024,84,3.8339285714285714,5.283856805133401,8.804258373205743,17861.625,81.375,14.5,-10.625,7.600000000000001,53.57142857142857
2026,162,4.189545659019344,5.888537473643857,8.693549783549784,27781.8125,186.75,31.875,-23.625,15.950000000000003,48.76543209876543
