config,trades,gross_per_sess,net_per_sess,gross_per_trade,net_per_trade,cost_per_trade,gross_PF
R1.0_opposite_ib_extreme_close_through,1971,-0.6880650994575045,-3.036708860759493,-0.7721968543886352,-3.4080162354134953,2.63581938102486,0.9774269378795856
R1.0_opposite_ib_extreme_trade_through,2037,-0.39556962025316456,-2.808273056057866,-0.42955326460481097,-3.049533627884143,2.619980363279332,0.9876476110479767
R1.0_k_ib_range_close_through,1971,-0.7127034358047016,-2.953074141048824,-0.799847792998478,-3.314155251141552,2.514307458143075,0.9708050149076835
R1.0_k_ib_range_trade_through,2037,0.35171790235081374,-1.953390596745027,0.38193421698576335,-2.1212076583210604,2.5031418753068246,1.0138346773835034
R1.5_opposite_ib_extreme_close_through,1971,-0.5327757685352622,-2.9214285714285713,-0.5979198376458651,-3.278640284119736,2.6807204464738708,0.9825505641268619
R1.5_opposite_ib_extreme_trade_through,2037,0.05085895117540687,-2.409990958408681,0.05522827687776141,-2.6170348551791864,2.6722631320569454,1.0015791246736476
R1.5_k_ib_range_close_through,1971,-1.1453435804701628,-3.452396021699819,-1.2853881278538812,-3.87453069507864,2.5891425672247594,0.9565202467885736
R1.5_k_ib_range_trade_through,2037,-0.1819620253164557,-2.558273056057866,-0.19759450171821305,-2.7780559646539027,2.5804614629356895,0.9934027208654319
R2.0_opposite_ib_extreme_close_through,1971,-0.16907775768535263,-2.5679023508137435,-0.18975139523084728,-2.8818873668188743,2.692135971588026,0.9944623767360597
R2.0_opposite_ib_extreme_trade_through,2037,0.38178119349005424,-2.0937613019891503,0.41458026509572904,-2.2736377025036822,2.68821796759941,1.011846230457928
R2.0_k_ib_range_close_through,1971,-0.5678119349005425,-2.9121609403254967,-0.6372399797057331,-3.2682394723490606,2.630999492643328,0.9788250963070361
R2.0_k_ib_range_trade_through,2037,0.0162748643761302,-2.401627486437612,0.017673048600883652,-2.6079528718703964,2.6256259204712813,1.000576142883435
R3.0_opposite_ib_extreme_close_through,1971,-0.20592224231464737,-2.6092676311030747,-0.2311009639776763,-2.9283105022831055,2.697209538305428,0.9932556486718588
R3.0_opposite_ib_extreme_trade_through,2037,0.36211573236889694,-2.1211121157323696,0.39322533136966126,-2.303338242513501,2.696563573883161,1.0112360338624042
R3.0_k_ib_range_close_through,1971,-0.423372513562387,-2.8066003616636523,-0.47513952308472857,-3.149771689497716,2.6746321664129877,0.9843031100458419
R3.0_k_ib_range_trade_through,2037,0.16116636528028933,-2.3001356238698003,0.17501227295041727,-2.4977417771232195,2.6727540500736375,1.0056652947065647
