session_date,direction,breakout_time,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,risk_points,r_multiple_net,gross_points,cost_points,net_points,gross_dollars,cost_dollars,net_dollars
2015-01-02,short,10:01,10:02,4250.0,4273.0,4204.0,11:13,4204.0,tp1,23.0,1.9522,46.0,1.1,44.9,92.0,2.2,89.8
2015-01-05,short,10:00,10:01,4180.25,4207.5,4125.75,11:29,4167.25,time_stop,27.25,0.4275,13.0,1.35,11.65,26.0,2.7,23.3
2015-01-07,long,10:00,10:01,4146.75,4117.25,4205.75,11:29,4128.75,time_stop,29.5,-0.6559,-18.0,1.35,-19.35,-36.0,2.7,-38.7
2015-01-12,short,10:01,10:02,4158.5,4218.75,4038.0,11:29,4175.5,time_stop,60.25,-0.3046,-17.0,1.35,-18.35,-34.0,2.7,-36.7
2015-01-13,long,10:21,10:22,4244.0,4201.75,4328.5,11:29,4239.5,time_stop,42.25,-0.1385,-4.5,1.35,-5.85,-9.0,2.7,-11.7
2015-01-14,long,10:00,10:01,4144.25,4112.5,4207.75,11:29,4125.5,time_stop,31.75,-0.6331,-18.75,1.35,-20.1,-37.5,2.7,-40.2
2015-01-15,short,10:00,10:01,4100.0,4163.25,3973.5,11:29,4105.5,time_stop,63.25,-0.1083,-5.5,1.35,-6.85,-11.0,2.7,-13.7
2015-01-16,short,10:14,10:15,4072.5,4105.5,4006.5,10:56,4105.5,hard_stop,33.0,-1.0409,-33.0,1.35,-34.35,-66.0,2.7,-68.7
2015-01-20,short,10:41,10:42,4119.5,4165.75,4027.0,11:29,4128.25,time_stop,46.25,-0.2184,-8.75,1.35,-10.1,-17.5,2.7,-20.2
2015-01-21,long,10:49,10:50,4191.0,4136.75,4299.5,11:29,4195.25,time_stop,54.25,0.0535,4.25,1.35,2.9,8.5,2.7,5.8
2015-01-22,long,10:55,10:56,4224.0,4164.25,4343.5,11:29,4232.0,time_stop,59.75,0.1113,8.0,1.35,6.65,16.0,2.7,13.3
2015-01-23,long,10:00,10:01,4271.25,4250.0,4313.75,11:29,4274.25,time_stop,21.25,0.0776,3.0,1.35,1.65,6.0,2.7,3.3
2015-03-11,long,10:06,10:07,4335.5,4316.75,4373.0,10:34,4316.75,hard_stop,18.75,-1.072,-18.75,1.35,-20.1,-37.5,2.7,-40.2
2015-03-12,long,11:19,11:20,4325.0,4294.0,4387.0,11:29,4325.0,time_stop,31.0,-0.0435,0.0,1.35,-1.35,0.0,2.7,-2.7
2015-03-13,short,10:10,10:11,4316.0,4342.0,4264.0,11:29,4293.25,time_stop,26.0,0.8231,22.75,1.35,21.4,45.5,2.7,42.8
2015-03-16,long,10:01,10:02,4343.75,4319.0,4393.25,11:29,4351.75,time_stop,24.75,0.2687,8.0,1.35,6.65,16.0,2.7,13.3
2015-03-17,short,11:06,11:07,4344.75,4361.25,4311.75,11:29,4348.5,time_stop,16.5,-0.3091,-3.75,1.35,-5.1,-7.5,2.7,-10.2
2015-03-18,long,10:59,11:00,4361.25,4346.75,4390.25,11:29,4356.5,time_stop,14.5,-0.4207,-4.75,1.35,-6.1,-9.5,2.7,-12.2
2015-03-19,long,10:16,10:17,4428.75,4412.75,4460.75,11:29,4425.75,time_stop,16.0,-0.2719,-3.0,1.35,-4.35,-6.0,2.7,-8.7
2015-03-20,long,10:37,10:38,4460.0,4448.0,4484.0,11:29,4464.0,time_stop,12.0,0.2208,4.0,1.35,2.65,8.0,2.7,5.3
2015-03-23,long,10:13,10:14,4454.5,4440.25,4483.0,11:29,4449.25,time_stop,14.25,-0.4632,-5.25,1.35,-6.6,-10.5,2.7,-13.2
2015-03-24,long,10:00,10:01,4446.25,4431.75,4475.25,11:29,4458.5,time_stop,14.5,0.7517,12.25,1.35,10.9,24.5,2.7,21.8
2015-03-25,short,11:16,11:17,4396.5,4436.25,4317.0,11:29,4391.5,time_stop,39.75,0.0918,5.0,1.35,3.65,10.0,2.7,7.3
2015-03-27,long,10:04,10:05,4326.5,4304.75,4370.0,10:12,4304.75,hard_stop,21.75,-1.0621,-21.75,1.35,-23.1,-43.5,2.7,-46.2
2015-03-31,long,11:10,11:11,4367.0,4344.5,4412.0,11:29,4366.25,time_stop,22.5,-0.0933,-0.75,1.35,-2.1,-1.5,2.7,-4.2
2015-04-06,long,10:17,10:18,4322.0,4275.0,4416.0,11:29,4335.75,time_stop,47.0,0.2638,13.75,1.35,12.4,27.5,2.7,24.8
2015-04-07,long,10:22,10:23,4364.25,4339.25,4414.25,11:29,4361.75,time_stop,25.0,-0.154,-2.5,1.35,-3.85,-5.0,2.7,-7.7
2015-04-09,short,10:20,10:21,4366.5,4390.25,4319.0,11:29,4363.75,time_stop,23.75,0.0589,2.75,1.35,1.4,5.5,2.7,2.8
2015-04-10,long,10:03,10:04,4402.5,4385.5,4436.5,11:29,4407.25,time_stop,17.0,0.2,4.75,1.35,3.4,9.5,2.7,6.8
2015-04-13,long,10:23,10:24,4439.0,4417.25,4482.5,11:29,4431.25,time_stop,21.75,-0.4184,-7.75,1.35,-9.1,-15.5,2.7,-18.2
2015-04-14,short,10:02,10:03,4374.25,4413.25,4296.25,11:29,4381.75,time_stop,39.0,-0.2269,-7.5,1.35,-8.85,-15.0,2.7,-17.7
2015-04-16,short,10:30,10:31,4402.25,4419.25,4368.25,11:29,4412.25,time_stop,17.0,-0.6676,-10.0,1.35,-11.35,-20.0,2.7,-22.7
2015-04-17,short,10:04,10:05,4350.25,4383.0,4284.75,11:29,4348.0,time_stop,32.75,0.0275,2.25,1.35,0.9,4.5,2.7,1.8
2015-04-20,long,10:00,10:01,4395.25,4362.75,4460.25,11:29,4404.0,time_stop,32.5,0.2277,8.75,1.35,7.4,17.5,2.7,14.8
2015-04-22,short,10:02,10:03,4418.75,4443.25,4369.75,11:29,4435.25,time_stop,24.5,-0.7286,-16.5,1.35,-17.85,-33.0,2.7,-35.7
2015-04-23,long,10:01,10:02,4456.25,4436.0,4496.75,11:29,4451.0,time_stop,20.25,-0.3259,-5.25,1.35,-6.6,-10.5,2.7,-13.2
2015-04-24,short,10:05,10:06,4510.75,4524.5,4483.25,10:25,4524.5,hard_stop,13.75,-1.0982,-13.75,1.35,-15.1,-27.5,2.7,-30.2
2015-04-28,short,10:00,10:01,4498.5,4525.5,4444.5,11:29,4510.5,time_stop,27.0,-0.4944,-12.0,1.35,-13.35,-24.0,2.7,-26.7
